sample_id,cnt_ratio,lig_ratio,graphene_ratio,mxene_ratio,pedot_ratio,base_conductivity,synergy_binary,synergy_ternary,synergy_quaternary,synergy_quinary,total_synergy,composite_conductivity,method,source
Q5-0.12-0.25-0.12-0.12-0.38,0.125,0.25,0.125,0.125,0.375,261750.0,0.93107146698412,0.0026171875,0.00011230468750000002,0.0013732910156249998,1.935174250187245,494795.0686919637,Quinary Composite,Simulated
Q5-0.12-0.25-0.12-0.25-0.25,0.125,0.25,0.125,0.25,0.25,268000.0,0.9409390283178832,0.0028906250000000004,0.00017578125,0.0018310546875,1.9458364892553834,509340.6442088152,Quinary Composite,Simulated
Q5-0.12-0.25-0.12-0.38-0.12,0.125,0.25,0.125,0.375,0.125,274250.0,0.6438006092825163,0.0024609375,0.0001904296875,0.0013732910156249998,1.647825267485641,457383.4116668948,Quinary Composite,Simulated
Q5-0.12-0.25-0.25-0.12-0.25,0.125,0.25,0.25,0.125,0.25,385500.0,0.8525345398384409,0.0028906250000000004,0.00017578125,0.0018310546875,1.857432000775941,647540.7735073669,Quinary Composite,Simulated
Q5-0.12-0.25-0.25-0.25-0.12,0.125,0.25,0.25,0.25,0.125,391750.0,0.8906387972944033,0.003046875,0.00025390625,0.0018310546875,1.8957706332319033,678616.0691720651,Quinary Composite,Simulated
Q5-0.12-0.25-0.38-0.12-0.12,0.125,0.25,0.375,0.125,0.125,509250.0,0.7112047776829251,0.0028515625,0.0001904296875,0.0013732910156249998,1.7156200608860501,849116.5611860417,Quinary Composite,Simulated
Q5-0.12-0.38-0.12-0.12-0.25,0.125,0.375,0.125,0.125,0.25,260750.0,0.9369226322299969,0.0024609375000000005,0.000107421875,0.0013732910156249998,1.9408642826206217,480451.664707672,Quinary Composite,Simulated
Q5-0.12-0.38-0.12-0.25-0.12,0.125,0.375,0.125,0.25,0.125,267000.0,0.7440221175119578,0.0022265625000000002,0.00016601562499999998,0.0013732910156249998,1.7477879866525827,473991.7159014205,Quinary Composite,Simulated
Q5-0.12-0.38-0.25-0.12-0.12,0.125,0.375,0.25,0.125,0.125,384500.0,0.7950826789697343,0.0026171875,0.00016601562499999998,0.0013732910156249998,1.7992391731103594,660398.5705021055,Quinary Composite,Simulated
Q5-0.12-0.50-0.12-0.12-0.12,0.125,0.5,0.125,0.125,0.125,259750.0,0.9198180404054518,0.0019921875,0.00010253906250000001,0.00091552734375,1.9228282943117017,464185.56694427575,Quinary Composite,Simulated
Q5-0.25-0.12-0.12-0.12-0.38,0.25,0.125,0.125,0.125,0.375,386500.0,0.7522666879772334,0.0034375,0.00018554687500000003,0.0013732910156249998,1.7572630258678585,728954.2842950083,Quinary Composite,Simulated
Q5-0.25-0.12-0.12-0.25-0.25,0.25,0.125,0.125,0.25,0.25,392750.0,0.924296607454954,0.004140625,0.0002734375,0.0018310546875,1.9305417246424539,749660.8540639206,Quinary Composite,Simulated
Q5-0.25-0.12-0.12-0.38-0.12,0.25,0.125,0.125,0.375,0.125,399000.0,0.6181336909530997,0.00375,0.000263671875,0.0013732910156249998,1.6235206538437246,649971.9279124513,Quinary Composite,Simulated
Q5-0.25-0.12-0.25-0.12-0.25,0.25,0.125,0.25,0.125,0.25,510250.0,0.8909086921004868,0.0037500000000000003,0.0002734375,0.0018310546875,1.8967631842879866,898878.1820435994,Quinary Composite,Simulated
Q5-0.25-0.12-0.25-0.25-0.12,0.25,0.125,0.25,0.25,0.125,516500.0,1.0696710899358788,0.0043749999999999995,0.0003515625,0.0018310546875,2.076228707123379,1043183.0842129295,Quinary Composite,Simulated
Q5-0.25-0.12-0.38-0.12-0.12,0.25,0.125,0.375,0.125,0.125,634000.0,0.6781069999225002,0.00375,0.000263671875,0.0013732910156249998,1.6834939628131251,1073254.7514942035,Quinary Composite,Simulated
Q5-0.25-0.25-0.12-0.12-0.25,0.25,0.25,0.125,0.125,0.25,385500.0,0.9255287655313399,0.0035937499999999997,0.00017578125,0.0018310546875,1.9311293514688401,701607.4855505077,Quinary Composite,Simulated
Q5-0.25-0.25-0.12-0.25-0.12,0.25,0.25,0.125,0.25,0.125,391750.0,0.84448300870684,0.0034375,0.00025390625,0.0018310546875,1.85000546964434,738353.8051127403,Quinary Composite,Simulated
Q5-0.25-0.25-0.25-0.12-0.12,0.25,0.25,0.25,0.125,0.125,509250.0,0.9865643713969541,0.003828125,0.00025390625,0.0018310546875,1.9924774573344541,984196.6678454473,Quinary Composite,Simulated
Q5-0.25-0.38-0.12-0.12-0.12,0.25,0.375,0.125,0.125,0.125,384500.0,0.812239996946634,0.003125,0.00016601562499999998,0.0013732910156249998,1.8169043035872592,688410.8463554529,Quinary Composite,Simulated
Q5-0.38-0.12-0.12-0.12-0.25,0.375,0.125,0.125,0.125,0.25,510250.0,0.5941592802386545,0.0037109375000000003,0.00020507812500000002,0.0013732910156249998,1.5994485868792794,791565.4423087904,Quinary Composite,Simulated
Q5-0.38-0.12-0.12-0.25-0.12,0.375,0.125,0.125,0.25,0.125,516500.0,0.5543966261980853,0.0039453125,0.000263671875,0.0013732910156249998,1.5599789015887102,880350.8246456018,Quinary Composite,Simulated
Q5-0.38-0.12-0.25-0.12-0.12,0.375,0.125,0.25,0.125,0.125,634000.0,0.5980263282248534,0.0039453125,0.000263671875,0.0013732910156249998,1.6036086036154784,1016001.7314690578,Quinary Composite,Simulated
Q5-0.38-0.25-0.12-0.12-0.12,0.375,0.25,0.125,0.125,0.125,509250.0,0.6482814239621779,0.0035546875000000006,0.0001904296875,0.0013732910156249998,1.653399832165303,797464.5588988113,Quinary Composite,Simulated
Q5-0.50-0.12-0.12-0.12-0.12,0.5,0.125,0.125,0.125,0.125,634000.0,0.5440440147204395,0.0032812500000000003,0.00017578125,0.00091552734375,1.5484165733141895,1022070.5644032044,Quinary Composite,Simulated
