P_W,v_mms,E_Jcm2,co_ratio,sigma_Sm,ssa_m2g,id_ig,source
0.261,20.7,1.26,2.5,100.8,1114.0,0.61,synthetic
0.255,21.0,1.22,0.9,50.0,2000.0,0.61,synthetic
0.252,35.7,0.71,3.3,75.4,866.8,0.55,synthetic
0.25,35.6,0.7,2.5,51.5,1288.6,0.53,synthetic
0.259,35.2,0.74,0.9,50.0,2000.0,0.54,synthetic
0.242,51.6,0.47,3.3,50.0,1044.6,0.47,synthetic
0.252,50.1,0.5,2.5,50.0,1169.9,0.57,synthetic
0.26,52.4,0.5,0.9,50.0,2000.0,0.49,synthetic
0.258,64.3,0.4,3.3,50.0,1033.5,0.59,synthetic
0.262,62.3,0.42,2.5,50.0,1009.7,0.54,synthetic
0.249,65.3,0.38,0.9,50.0,2000.0,0.55,synthetic
0.249,82.0,0.3,3.3,50.0,1068.2,0.56,synthetic
0.242,82.2,0.29,2.5,50.0,1047.2,0.5,synthetic
0.254,83.1,0.31,0.9,50.0,2000.0,0.61,synthetic
0.481,14.3,3.37,0.9,2406.3,548.3,2.01,augmented
0.328,29.7,1.11,3.3,2542.9,652.6,1.0,augmented
0.158,36.2,0.44,3.3,465.3,363.5,0.69,augmented
0.409,19.0,2.15,3.3,3392.5,445.6,1.51,augmented
0.414,14.8,2.79,3.3,2786.0,296.7,1.78,augmented
0.819,14.6,5.6,3.3,1512.7,175.1,2.68,augmented
0.3,39.4,0.76,0.9,1443.6,1232.2,1.1,augmented
0.385,30.4,1.27,3.3,4224.4,573.7,1.31,augmented
0.25,23.9,1.04,3.3,1504.4,618.8,0.96,augmented
0.394,15.9,2.48,3.3,2982.2,327.8,1.73,augmented
0.51,19.4,2.63,3.3,3758.8,413.5,1.71,augmented
0.779,15.2,5.11,3.3,1740.3,205.2,2.57,augmented
0.302,29.8,1.01,2.5,1181.4,352.1,1.15,augmented
0.404,15.5,2.6,3.3,2911.9,273.1,1.74,augmented
0.407,19.7,2.06,3.3,3285.2,443.8,1.62,augmented
0.283,32.0,0.88,3.3,2614.6,591.7,1.01,augmented
0.222,31.7,0.7,3.3,980.7,401.8,0.83,augmented
0.255,55.7,0.46,0.9,619.0,833.4,0.86,augmented
0.56,21.9,2.56,3.3,3289.4,337.5,1.78,augmented
0.25,26.0,0.96,3.3,1193.6,481.6,1.02,augmented
