"FullName","Length","LastWriteTime"
"D:\OpenClaw\workspace\11-research\figures\LIG_GP 不确定性分布.png","72198","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\figures\LIG_GP 优化效果对比.png","54299","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\figures\LIG_GP 预测结果.png","110109","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\figures\LIG_GP_120 样本预测结果.png","123583","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\figures\LIG_GP_不确定性分布_120 样本.png","52402","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\figures\ml_training_results.png","236023","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\figures\prediction_figure.png","158769","2026/3/6 16:32:08"
"D:\OpenClaw\workspace\11-research\figures\residuals_figure.png","131168","2026/3/6 16:32:08"
"D:\OpenClaw\workspace\11-research\github_repo\figures\Ensemble_GP_MACE_prediction.png","181317","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\Ensemble_uncertainty.png","66281","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_200samples_prediction.png","173403","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_200samples_residuals.png","155988","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_200samples_uncertainty.png","69812","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_complete_prediction.png","144715","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_complete_residuals.png","134681","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_complete_uncertainty.png","71915","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_feature_importance.png","68757","2026/3/6 19:11:20"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_no_collinearity_prediction.png","124718","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\GP_performance_comparison.png","64304","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\LIG_GP 不确定性分布.png","72198","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\LIG_GP 优化效果对比.png","54299","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\LIG_GP 预测结果.png","110109","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\LIG_GP_120 样本预测结果.png","123583","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\LIG_GP_不确定性分布_120 样本.png","52402","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\ml_training_results.png","236023","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\github_repo\figures\prediction_figure.png","158769","2026/3/6 16:32:08"
"D:\OpenClaw\workspace\11-research\github_repo\figures\residuals_figure.png","131168","2026/3/6 16:32:08"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\Ensemble_GP_MACE_prediction.png","181317","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\Ensemble_uncertainty.png","66281","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_200samples_prediction.png","173403","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_200samples_residuals.png","155988","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_200samples_uncertainty.png","69812","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_complete_prediction.png","144715","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_complete_residuals.png","134681","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_complete_uncertainty.png","71915","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_feature_importance.png","68757","2026/3/6 19:11:20"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_no_collinearity_prediction.png","124718","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\GP_performance_comparison.png","64304","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\LIG_GP 不确定性分布.png","72198","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\LIG_GP 优化效果对比.png","54299","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\LIG_GP 预测结果.png","110109","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\LIG_GP_120 样本预测结果.png","123583","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\LIG_GP_不确定性分布_120 样本.png","52402","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\ml_training_results.png","236023","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\prediction_figure.png","158769","2026/3/6 16:32:08"
"D:\OpenClaw\workspace\11-research\lig-conductivity-prediction-zenodo\figures\residuals_figure.png","131168","2026/3/6 16:32:08"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\05_Figures\Ensemble_GP_MACE_prediction.png","181317","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\05_Figures\GP_200samples_prediction.png","173403","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\05_Figures\GP_200samples_residuals.png","155988","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\05_Figures\GP_200samples_uncertainty.png","69812","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\05_Figures\GP_performance_comparison.png","64304","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\08_Submission_Package\Figures\Ensemble_GP_MACE_prediction.png","181317","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\08_Submission_Package\Figures\GP_200samples_prediction.png","173403","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\08_Submission_Package\Figures\GP_200samples_residuals.png","155988","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\08_Submission_Package\Figures\GP_200samples_uncertainty.png","69812","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\ORGANIZED_PROJECT\08_Submission_Package\Figures\GP_performance_comparison.png","64304","2026/3/6 14:12:45"
"D:\OpenClaw\workspace\11-research\research\figures\GP_200samples_prediction.png","173403","2026/3/6 15:07:15"
"D:\OpenClaw\workspace\11-research\research\figures\GP_200samples_residuals.png","155988","2026/3/6 15:07:16"
"D:\OpenClaw\workspace\11-research\research\figures\GP_200samples_uncertainty.png","69812","2026/3/6 15:07:16"
"D:\OpenClaw\workspace\11-research\research\figures\GP_performance_comparison.png","64304","2026/3/6 15:07:16"
"D:\OpenClaw\workspace\11-research\theory\figures\material_properties_kT_CpT.png","208708","2026/3/6 20:41:59"
"D:\OpenClaw\workspace\11-research\theory\figures\scaling_law_loglog.png","166856","2026/3/6 21:27:07"
"D:\OpenClaw\workspace\11-research\theory\figures\scaling_law_raw.png","194126","2026/3/6 21:27:07"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_2d_contour.png","140103","2026/3/6 20:45:39"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_2d_contour_kT.png","145857","2026/3/6 20:50:19"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_comparison_var_vs_const.png","183044","2026/3/6 20:50:19"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_depth.png","130842","2026/3/6 20:33:08"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_depth_kT.png","146570","2026/3/6 20:41:55"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_depth_optimized.png","150566","2026/3/6 20:35:53"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_r_2d.png","134436","2026/3/6 20:45:40"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_time.png","118984","2026/3/6 20:33:08"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_time_kT.png","183936","2026/3/6 20:41:59"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_time_optimized.png","156333","2026/3/6 20:35:54"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_z_2d.png","102344","2026/3/6 20:45:40"
"D:\OpenClaw\workspace\11-research\theory\figures\temp_vs_z_2d_kT.png","111233","2026/3/6 20:50:19"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\Ensemble_GP_MACE_prediction.png","181317","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\Ensemble_uncertainty.png","66281","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_200samples_prediction.png","173403","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_200samples_residuals.png","155988","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_200samples_uncertainty.png","69812","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_complete_prediction.png","144715","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_complete_residuals.png","134681","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_complete_uncertainty.png","71915","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_no_collinearity_prediction.png","124718","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\GP_performance_comparison.png","64304","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\LIG_GP 不确定性分布.png","72198","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\LIG_GP 优化效果对比.png","54299","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\LIG_GP 预测结果.png","110109","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\LIG_GP_120 样本预测结果.png","123583","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\LIG_GP_不确定性分布_120 样本.png","52402","2026/3/6 14:12:48"
"D:\OpenClaw\workspace\99-workspace-archive\research\figures\ml_training_results.png","236023","2026/3/6 14:12:48"
